run,depth_increment,noise,num_layers_psi,num_neurons_psi,num_layers_theta,num_neurons_theta,num_layers_K,num_neurons_K,MSE_theta_1,MSE_theta_2,MSE_theta_3,MSE_psi_1,MSE_psi_2,MSE_psi_3,MSE_K_1,MSE_K_2,MSE_K_3,MSE_flux_1,MSE_flux_2,MSE_flux_3
sandy_loam_depth_1_noise_0_lay_psi_6_neu_psi_40_lay_theta_3_neu_theta_20_lay_K_2_neu_K_20,1,0,6,40,3,20,2,20,7.08001E-05,0.000196745,1.74866E-06,75631.08417,75631.21271,5588655.273,9.94006743,13.36042851,0.017550396,8.996493182,12.53509784,0.033911429
sandy_loam_depth_1_noise_0_lay_psi_6_neu_psi_40_lay_theta_3_neu_theta_20_lay_K_2_neu_K_40,1,0,6,40,3,20,2,40,0.000248581,3.69435E-05,1.45432E-06,75631.12961,75631.1638,2683359.517,16.0201182,15.80254263,0.022399272,15.21841587,14.10599955,0.031879258
sandy_loam_depth_1_noise_0_lay_psi_6_neu_psi_40_lay_theta_3_neu_theta_20_lay_K_3_neu_K_10,1,0,6,40,3,20,3,10,7.12616E-05,0.000254179,3.23558E-06,75631.21166,75631.1714,31497.54715,18.4537305,14.54292884,0.255133302,16.9049264,13.447162,0.243387684
sandy_loam_depth_1_noise_0_lay_psi_6_neu_psi_40_lay_theta_3_neu_theta_20_lay_K_3_neu_K_20,1,0,6,40,3,20,3,20,5.91303E-05,0.000114025,1.96102E-06,75631.02042,75631.16668,82080.27793,12.22801587,12.28927513,0.067138473,10.98635406,11.21738892,0.066292754
sandy_loam_depth_1_noise_0_lay_psi_6_neu_psi_40_lay_theta_3_neu_theta_20_lay_K_3_neu_K_40,1,0,6,40,3,20,3,40,0.000107178,0.0003017,1.71894E-06,75629.0423,75610.78965,65886.2289,9.977160769,20.7344442,0.043125535,9.328782947,19.42527153,0.055417565
sandy_loam_depth_1_noise_0_lay_psi_6_neu_psi_40_lay_theta_3_neu_theta_40_lay_K_1_neu_K_10,1,0,6,40,3,40,1,10,1.60966E-06,3.37821E-06,3.05484E-06,1502514.745,40716.40935,147955.5109,0.016578574,0.05994234,0.055451121,0.041610038,0.067907119,0.070362184
sandy_loam_depth_1_noise_0_lay_psi_6_neu_psi_40_lay_theta_3_neu_theta_40_lay_K_1_neu_K_20,1,0,6,40,3,40,1,20,2.96093E-06,2.11945E-06,2.0853E-06,1406657.819,1746432.421,175880.0251,0.045550522,0.036906511,0.023629856,0.056125363,0.046753911,0.040855511
sandy_loam_depth_1_noise_0_lay_psi_6_neu_psi_40_lay_theta_3_neu_theta_40_lay_K_1_neu_K_40,1,0,6,40,3,40,1,40,2.17385E-06,3.22893E-06,2.80194E-06,2066261.004,1739068.778,623470.917,0.013519488,0.029432502,0.044345073,0.036062195,0.044857579,0.052413717
sandy_loam_depth_1_noise_0_lay_psi_6_neu_psi_40_lay_theta_3_neu_theta_40_lay_K_2_neu_K_10,1,0,6,40,3,40,2,10,8.58605E-06,1.88102E-06,2.92419E-06,47723.44094,220834.3191,52400.73108,0.806413978,0.013209305,0.171627674,0.704141714,0.029147292,0.147187166
sandy_loam_depth_1_noise_0_lay_psi_6_neu_psi_40_lay_theta_3_neu_theta_40_lay_K_2_neu_K_20,1,0,6,40,3,40,2,20,1.50081E-06,1.25647E-06,1.55626E-06,830136.1922,4116708.16,1072926.789,0.009369414,0.004756042,0.027230455,0.02989739,0.025951677,0.031146494
sandy_loam_depth_1_noise_0_lay_psi_6_neu_psi_40_lay_theta_3_neu_theta_40_lay_K_2_neu_K_40,1,0,6,40,3,40,2,40,1.66739E-06,1.92717E-06,1.71342E-06,359834.0096,2081507.946,21022709.7,0.038977918,0.005672899,0.027961585,0.045813186,0.026494352,0.035922892
sandy_loam_depth_1_noise_0_lay_psi_6_neu_psi_40_lay_theta_3_neu_theta_40_lay_K_3_neu_K_10,1,0,6,40,3,40,3,10,2.5494E-06,1.843E-06,1.90097E-06,31451.46365,47493.42317,33507.78027,0.112548647,0.047396735,0.044414124,0.120164255,0.051697426,0.058157795
sandy_loam_depth_1_noise_0_lay_psi_6_neu_psi_40_lay_theta_3_neu_theta_40_lay_K_3_neu_K_20,1,0,6,40,3,40,3,20,1.76441E-06,1.74879E-06,1.77532E-06,154741.0276,56003.33278,116591.9733,0.029330039,0.045715883,0.045543352,0.044769214,0.050800392,0.05085991
sandy_loam_depth_1_noise_0_lay_psi_6_neu_psi_40_lay_theta_3_neu_theta_40_lay_K_3_neu_K_40,1,0,6,40,3,40,3,40,1.99211E-06,1.80489E-06,1.60142E-06,32032.94345,412895.446,57408.17759,0.063897724,0.031474241,0.021141248,0.064675978,0.034382941,0.036477715
