theta,psi,K
0.23013577,-131.52248321921437,0.016943293
0.22690761,-138.03842646027852,0.014744845
0.22372022,-144.87718535446564,0.012832308
0.22057357,-152.0547529732385,0.011168718
0.21746758,-159.5879147236616,0.00972182
0.2144019,-167.4942876026315,0.008463567
0.21137655,-175.79236139585637,0.0073694456
0.20839122,-184.5015419179338,0.0064181215
0.20544574,-193.64219639464642,0.005591017
0.2025398,-203.23570109360713,0.004871926
0.19967335,-213.3044913146418,0.00424676
0.19684592,-223.8721138568173,0.0037032422
0.19405738,-234.9632820848132,0.003230694
0.19130751,-246.60393372341545,0.002819821
0.18859589,-258.8212915152897,0.0024625345
0.18592238,-271.6439268838878,0.0021518075
0.18328658,-285.1018267503694,0.0018815291
0.18068823,-299.22646366079624,0.0016463753
0.17812705,-314.0508693875979,0.001441736
0.17560264,-329.60971217743264,0.0012635969
0.17311475,-345.93937782609555,0.001108474
0.170663,-363.07805477007355,0.00097333797
0.16824698,-381.0658233937438,0.00085556385
0.16586652,-399.9447497610667,0.0007528671
0.16352114,-419.75898399097514,0.00066327065
0.16121048,-440.5548635065192,0.0005850544
0.15893427,-462.3810213992244,0.00051672844
0.15669209,-485.28850016208327,0.0004570001
0.15448356,-509.33087105715566,0.0004047453
0.15230834,-534.5643593969298,0.00035899287
0.15016606,-561.0479760324265,0.00031889742
0.14805636,-588.8436553555426,0.0002837263
0.14597884,-618.0164001383671,0.00025284378
0.14393303,-648.6344335481871,0.00022569907
0.14191869,-680.7693586936874,0.00020181335
0.1399354,-714.4963260754565,0.00018077083
0.13798279,-749.894209332396,0.00016221091
0.13606045,-787.0457896950358,0.00014582084
0.13416791,-826.0379495771125,0.00013132785
0.13230494,-866.9618757581469,0.000118495554
0.13047108,-909.9132726321782,0.0001071182
0.12866598,-954.9925860213588,9.701652e-05
0.12688923,-1002.3052380778205,8.8034736e-05
0.12514043,-1051.9618738231375,8.0037076e-05
0.123419285,-1104.078619901981,7.290524e-05
0.12172541,-1158.7773561550314,6.6535875e-05
