run,depth_increment,noise,num_layers_psi,num_neurons_psi,num_layers_theta,num_neurons_theta,num_layers_K,num_neurons_K,MSE_theta_1,MSE_theta_2,MSE_theta_3,MSE_psi_1,MSE_psi_2,MSE_psi_3,MSE_K_1,MSE_K_2,MSE_K_3,MSE_flux_1,MSE_flux_2,MSE_flux_3
sandy_loam_depth_1_noise_0_lay_psi_8_neu_psi_40_lay_theta_1_neu_theta_40_lay_K_2_neu_K_20,1,0,8,40,1,40,2,20,1.00854E-05,1.83156E-06,2.23421E-06,31479.19117,26995.66258,34921.81995,0.239550633,0.010954696,0.009511809,0.175865224,0.037641432,0.041329624
sandy_loam_depth_1_noise_0_lay_psi_8_neu_psi_40_lay_theta_1_neu_theta_40_lay_K_2_neu_K_40,1,0,8,40,1,40,2,40,1.38888E-06,2.05617E-06,3.09502E-06,3175.507251,43358.27559,28511.77935,0.011039567,0.012308985,0.012769744,0.032089753,0.051744219,0.042031123
sandy_loam_depth_1_noise_0_lay_psi_8_neu_psi_40_lay_theta_1_neu_theta_40_lay_K_3_neu_K_10,1,0,8,40,1,40,3,10,2.53046E-06,2.96456E-06,9.51227E-06,37056.83479,34200.10746,41612.55972,0.012558051,0.01322155,0.225845586,0.047202952,0.05468703,0.169584268
sandy_loam_depth_1_noise_0_lay_psi_8_neu_psi_40_lay_theta_1_neu_theta_40_lay_K_3_neu_K_20,1,0,8,40,1,40,3,20,1.0047E-05,2.80252E-06,9.54643E-06,33666.82847,33793.87584,42685.02574,0.222031347,0.011165884,0.223607568,0.162241323,0.046216713,0.164980482
sandy_loam_depth_1_noise_0_lay_psi_8_neu_psi_40_lay_theta_1_neu_theta_40_lay_K_3_neu_K_40,1,0,8,40,1,40,3,40,1.92467E-06,2.13204E-06,2.21516E-06,30778.77229,23612.34773,38154.24115,0.009818555,0.010390835,0.006897789,0.033217792,0.032881568,0.03304854
sandy_loam_depth_1_noise_0_lay_psi_8_neu_psi_40_lay_theta_2_neu_theta_10_lay_K_1_neu_K_10,1,0,8,40,2,10,1,10,2.21107E-06,2.33133E-06,2.51594E-06,7632.699308,582794.6489,1717.156078,0.019625829,0.01853354,0.01464078,0.033519925,0.038476435,0.052916663
sandy_loam_depth_1_noise_0_lay_psi_8_neu_psi_40_lay_theta_2_neu_theta_10_lay_K_1_neu_K_20,1,0,8,40,2,10,1,20,2.00343E-06,1.8686E-06,2.56781E-06,38794.73433,1505.734847,6332.231116,0.011011032,0.01214325,0.01633274,0.043573705,0.049565337,0.049770077
sandy_loam_depth_1_noise_0_lay_psi_8_neu_psi_40_lay_theta_2_neu_theta_10_lay_K_1_neu_K_40,1,0,8,40,2,10,1,40,1.05617E-05,2.74945E-06,1.97799E-06,483386.9002,11790.71719,9986600.818,0.172861608,0.019438187,0.018383506,0.138170907,0.041296824,0.047756422
sandy_loam_depth_1_noise_0_lay_psi_8_neu_psi_40_lay_theta_2_neu_theta_10_lay_K_2_neu_K_10,1,0,8,40,2,10,2,10,2.61595E-06,9.93824E-06,2.61827E-06,33355.85025,35276.42744,35394.13379,0.010462756,0.199100599,0.012332621,0.044607502,0.169374245,0.056078464
sandy_loam_depth_1_noise_0_lay_psi_8_neu_psi_40_lay_theta_2_neu_theta_10_lay_K_2_neu_K_20,1,0,8,40,2,10,2,20,1.60687E-06,1.81998E-06,1.9349E-06,21701.84453,50976.0404,25165.63623,0.009679322,0.010855195,0.010709057,0.036421608,0.036282877,0.044007871
sandy_loam_depth_1_noise_0_lay_psi_8_neu_psi_40_lay_theta_2_neu_theta_10_lay_K_2_neu_K_40,1,0,8,40,2,10,2,40,9.68244E-06,1.90141E-06,2.83146E-06,13391.90489,703.5409145,23733.68241,0.24458676,0.009865311,0.015566973,0.163831383,0.041144982,0.063966543
sandy_loam_depth_1_noise_0_lay_psi_8_neu_psi_40_lay_theta_2_neu_theta_10_lay_K_3_neu_K_10,1,0,8,40,2,10,3,10,1.11784E-05,2.4975E-06,2.29588E-05,39228.78731,42286.51858,42072.3554,0.281151963,0.015525689,0.390828268,0.215644855,0.061351869,0.336353129
sandy_loam_depth_1_noise_0_lay_psi_8_neu_psi_40_lay_theta_2_neu_theta_10_lay_K_3_neu_K_20,1,0,8,40,2,10,3,20,1.13385E-05,2.20199E-06,2.26707E-06,23805.79788,36491.76245,29540.83716,0.271176633,0.005572482,0.006400389,0.190694762,0.029392929,0.031622137
sandy_loam_depth_1_noise_0_lay_psi_8_neu_psi_40_lay_theta_2_neu_theta_10_lay_K_3_neu_K_40,1,0,8,40,2,10,3,40,2.61585E-06,2.5173E-05,3.45905E-06,914.1995233,19307.35003,6461.240127,0.032871374,0.602297238,0.023138083,0.053437239,0.414600121,0.081680173
sandy_loam_depth_1_noise_0_lay_psi_8_neu_psi_40_lay_theta_2_neu_theta_20_lay_K_1_neu_K_10,1,0,8,40,2,20,1,10,1.76867E-06,1.83091E-06,1.83091E-06,6845.901477,4720.762677,4720.762677,0.009097653,0.012277576,0.012277576,0.035480779,0.036618416,0.036618416
sandy_loam_depth_1_noise_0_lay_psi_8_neu_psi_40_lay_theta_2_neu_theta_20_lay_K_1_neu_K_20,1,0,8,40,2,20,1,20,3.88499E-06,2.41141E-06,3.47885E-06,25620.60168,5557.156352,10199.04194,0.016873847,0.020014218,0.024000023,0.067339221,0.052902457,0.071852529
sandy_loam_depth_1_noise_0_lay_psi_8_neu_psi_40_lay_theta_2_neu_theta_20_lay_K_1_neu_K_40,1,0,8,40,2,20,1,40,1.10409E-05,2.27874E-06,1.57889E-06,80091.15916,2781.106969,2949.565026,0.132815537,0.024108691,0.010548975,0.118950729,0.05179566,0.037517628
sandy_loam_depth_1_noise_0_lay_psi_8_neu_psi_40_lay_theta_2_neu_theta_20_lay_K_2_neu_K_10,1,0,8,40,2,20,2,10,1.69948E-06,1.78331E-06,1.78331E-06,26988.37264,33359.7249,33359.7249,0.014949201,0.007920063,0.007920063,0.032153405,0.038176662,0.038176662
